case_id,category,color,reported_location,location_type,footfall_score,days_since_loss,max_similarity_score,similar_items_nearby_48h,recovered,days_to_recovery
28,Bag,Silver,Clock Tower,Landmark,0.9,12,0.61,3,1,1.0
29,Bag,Silver,Library,Building,0.85,17,0.63,2,0,
30,Phone,White,Bus Stop,Transit,0.75,3,0.44,2,1,1.0
31,Bottle,Black,Auditorium,Building,0.8,20,0.78,2,0,
32,ID Card,Green,Canteen,Building,0.95,14,0.67,3,0,
33,Keys,White,Library,Building,0.85,16,0.35,1,0,
34,Bottle,Red,Auditorium,Building,0.8,20,0.7,2,0,
35,Keys,Silver,Parking Area,Open Area,0.45,6,0.79,1,0,
36,Wallet,Silver,Auditorium,Building,0.8,29,0.65,2,0,
37,Phone,Silver,Library,Building,0.85,15,0.91,2,0,
38,ID Card,Black,Canteen,Building,0.95,1,0.84,3,1,4.0
39,Bottle,Red,Clock Tower,Landmark,0.9,23,0.52,0,0,
40,Phone,Silver,Auditorium,Building,0.8,4,0.6,2,1,1.0
41,Bag,Silver,Canteen,Building,0.95,8,0.82,1,1,1.0
42,Bottle,Green,Canteen,Building,0.95,29,0.48,1,0,
43,Keys,White,Canteen,Building,0.95,22,0.56,4,0,
44,Keys,White,Library,Building,0.85,14,0.64,2,0,
45,Bag,Red,Canteen,Building,0.95,7,0.75,1,1,3.0
46,Phone,Silver,Parking Area,Open Area,0.45,7,0.84,4,1,1.0
47,Phone,Red,Bus Stop,Transit,0.75,20,0.74,0,0,
48,Phone,Red,Auditorium,Building,0.8,10,0.85,0,1,2.0
49,Wallet,Black,Bus Stop,Transit,0.75,15,0.99,2,1,1.0
50,Wallet,White,Parking Area,Open Area,0.45,18,0.79,3,0,
51,Bag,Green,Canteen,Building,0.95,3,0.85,0,1,1.0
52,Bag,Black,Pathway near CSE,Pathway,0.6,13,0.99,1,1,9.0
53,Keys,Red,Bus Stop,Transit,0.75,20,0.86,4,1,1.0
54,Phone,Red,Pathway near CSE,Pathway,0.6,23,0.66,2,0,
55,Phone,Blue,Canteen,Building,0.95,6,0.51,4,1,6.0
56,Wallet,Green,Canteen,Building,0.95,8,0.79,4,1,1.0
57,Phone,Green,Auditorium,Building,0.8,27,0.62,1,0,
58,Phone,Red,Bus Stop,Transit,0.75,17,0.85,3,1,2.0
59,Phone,Blue,Canteen,Building,0.95,13,0.89,3,1,1.0
60,Wallet,Green,Clock Tower,Landmark,0.9,5,0.71,5,1,4.0
61,Bag,Black,Auditorium,Building,0.8,25,0.94,3,1,1.0
62,Bag,White,Bus Stop,Transit,0.75,25,0.88,1,0,
63,Keys,Green,Canteen,Building,0.95,6,0.99,2,1,1.0
64,Phone,Silver,Bus Stop,Transit,0.75,17,0.36,2,0,
65,ID Card,Red,Clock Tower,Landmark,0.9,18,0.98,1,1,1.0
66,Bottle,Blue,Clock Tower,Landmark,0.9,30,0.72,0,0,
67,Wallet,Red,Parking Area,Open Area,0.45,2,0.99,4,1,3.0
68,Wallet,Green,Clock Tower,Landmark,0.9,30,0.99,1,1,1.0
69,Wallet,Silver,Parking Area,Open Area,0.45,1,0.79,1,1,1.0
70,Bag,White,Parking Area,Open Area,0.45,18,0.86,2,0,
71,ID Card,Blue,Bus Stop,Transit,0.75,22,0.47,4,0,
72,ID Card,Green,Canteen,Building,0.95,21,0.87,1,1,3.0
73,Bag,Black,Auditorium,Building,0.8,29,0.78,1,0,
74,Bag,Silver,Parking Area,Open Area,0.45,3,0.84,2,1,1.0
75,Wallet,Silver,Library,Building,0.85,4,0.99,1,1,1.0
76,Phone,Blue,Library,Building,0.85,9,0.44,4,1,1.0
77,Bottle,White,Library,Building,0.85,19,0.66,3,0,
78,Keys,Silver,Clock Tower,Landmark,0.9,21,0.71,4,1,8.0
79,ID Card,White,Clock Tower,Landmark,0.9,30,0.61,2,0,
80,ID Card,Red,Clock Tower,Landmark,0.9,23,0.74,2,1,2.0
81,ID Card,Black,Parking Area,Open Area,0.45,6,0.86,3,1,3.0
82,Wallet,White,Bus Stop,Transit,0.75,27,0.76,3,1,3.0
83,Bag,Black,Auditorium,Building,0.8,1,0.8,4,1,5.0
84,Bag,Black,Clock Tower,Landmark,0.9,0,0.66,2,1,5.0
85,Wallet,White,Library,Building,0.85,5,0.76,4,1,1.0
86,Bottle,White,Pathway near CSE,Pathway,0.6,17,0.68,4,1,1.0
87,Phone,White,Canteen,Building,0.95,17,0.71,3,0,
88,ID Card,Silver,Parking Area,Open Area,0.45,4,0.58,1,0,
89,Phone,Black,Library,Building,0.85,28,0.55,0,0,
90,Phone,Black,Canteen,Building,0.95,21,0.74,1,1,4.0
91,Phone,Black,Auditorium,Building,0.8,17,0.62,0,0,
92,Bag,Silver,Bus Stop,Transit,0.75,4,0.74,3,1,7.0
93,Wallet,Blue,Auditorium,Building,0.8,25,0.57,4,0,
94,Bag,Red,Canteen,Building,0.95,23,0.66,1,0,
95,Bag,White,Auditorium,Building,0.8,23,0.58,0,0,
96,ID Card,Blue,Auditorium,Building,0.8,22,0.69,0,0,
97,Phone,Green,Canteen,Building,0.95,6,0.93,3,1,5.0
98,Bag,Black,Library,Building,0.85,26,0.84,2,1,8.0
99,Wallet,Blue,Clock Tower,Landmark,0.9,21,0.74,0,0,
100,ID Card,Black,Auditorium,Building,0.8,2,0.7,4,1,1.0
101,ID Card,Black,Bus Stop,Transit,0.75,16,0.92,1,1,1.0
102,Bottle,Black,Clock Tower,Landmark,0.9,3,0.99,4,1,1.0
103,ID Card,Blue,Parking Area,Open Area,0.45,30,0.32,1,0,
104,Phone,Red,Parking Area,Open Area,0.45,13,0.61,4,0,
105,ID Card,Green,Parking Area,Open Area,0.45,16,0.8,2,0,
106,Bottle,Blue,Library,Building,0.85,1,0.87,6,1,1.0
107,Phone,Silver,Auditorium,Building,0.8,17,0.91,2,1,1.0
108,Keys,White,Bus Stop,Transit,0.75,6,0.62,4,1,1.0
109,Phone,White,Library,Building,0.85,19,0.7,4,1,1.0
110,Phone,White,Library,Building,0.85,16,0.71,2,1,2.0
111,Bag,Black,Pathway near CSE,Pathway,0.6,22,0.42,0,0,
112,Wallet,Blue,Pathway near CSE,Pathway,0.6,21,0.93,4,1,2.0
113,Keys,White,Canteen,Building,0.95,19,0.88,1,1,1.0
114,Bag,Silver,Auditorium,Building,0.8,0,0.73,3,1,1.0
115,Wallet,Green,Auditorium,Building,0.8,18,0.39,3,0,
116,ID Card,Green,Pathway near CSE,Pathway,0.6,14,0.96,5,1,6.0
117,Bottle,Green,Auditorium,Building,0.8,28,0.39,3,0,
118,Keys,Blue,Bus Stop,Transit,0.75,2,0.69,2,1,1.0
119,Keys,White,Parking Area,Open Area,0.45,10,0.77,1,0,
120,Wallet,White,Library,Building,0.85,7,0.53,3,1,1.0
121,Wallet,Red,Clock Tower,Landmark,0.9,7,0.55,0,0,
122,Bottle,Red,Pathway near CSE,Pathway,0.6,13,0.6,0,0,
123,Bottle,Blue,Bus Stop,Transit,0.75,22,0.44,2,0,
124,Bag,Blue,Canteen,Building,0.95,20,0.67,0,0,
125,Phone,Green,Canteen,Building,0.95,5,0.79,0,1,5.0
126,Keys,Silver,Pathway near CSE,Pathway,0.6,1,0.92,1,1,1.0
127,Phone,Green,Canteen,Building,0.95,25,0.81,1,1,1.0
128,Bottle,Silver,Parking Area,Open Area,0.45,10,0.84,2,0,
129,Bag,Silver,Auditorium,Building,0.8,23,0.99,0,0,
130,Bag,Silver,Pathway near CSE,Pathway,0.6,28,0.66,3,0,
131,Bag,Green,Library,Building,0.85,24,0.52,2,0,
132,Keys,Black,Auditorium,Building,0.8,24,0.71,1,0,
133,Keys,Blue,Library,Building,0.85,14,0.58,0,0,
134,ID Card,Blue,Library,Building,0.85,10,0.51,5,1,1.0
135,Bottle,Red,Canteen,Building,0.95,4,0.97,1,1,1.0
136,Keys,Blue,Bus Stop,Transit,0.75,6,0.8,2,1,1.0
137,Bag,Black,Parking Area,Open Area,0.45,14,0.7,1,0,
138,Wallet,Green,Pathway near CSE,Pathway,0.6,28,0.72,1,0,
139,Keys,Red,Auditorium,Building,0.8,28,0.63,1,0,
140,Bag,Green,Clock Tower,Landmark,0.9,30,0.63,1,0,
141,Bag,Green,Parking Area,Open Area,0.45,23,0.3,1,0,
142,Bottle,Blue,Pathway near CSE,Pathway,0.6,7,0.82,4,1,1.0
143,Bag,Red,Pathway near CSE,Pathway,0.6,10,0.8,2,1,3.0
144,Bag,White,Canteen,Building,0.95,26,0.74,1,0,
145,Wallet,Silver,Parking Area,Open Area,0.45,0,0.75,1,1,2.0
146,Bottle,Silver,Bus Stop,Transit,0.75,0,0.3,2,0,
147,Bag,Blue,Auditorium,Building,0.8,14,0.99,0,1,1.0
148,ID Card,Green,Library,Building,0.85,6,0.41,0,0,
149,ID Card,Green,Library,Building,0.85,24,0.88,2,1,2.0
150,Bag,Black,Auditorium,Building,0.8,2,0.6,2,1,6.0
151,Keys,Silver,Clock Tower,Landmark,0.9,30,0.77,2,0,
152,Keys,Red,Auditorium,Building,0.8,30,0.59,3,0,
153,Phone,Blue,Canteen,Building,0.95,26,0.59,1,1,4.0
154,Wallet,Blue,Canteen,Building,0.95,15,0.81,2,1,5.0
155,Bottle,Blue,Pathway near CSE,Pathway,0.6,22,0.92,2,0,
156,ID Card,Blue,Parking Area,Open Area,0.45,19,0.63,2,0,
157,Keys,Red,Auditorium,Building,0.8,26,0.76,3,0,
158,ID Card,Red,Parking Area,Open Area,0.45,0,0.66,0,1,7.0
159,Bottle,White,Pathway near CSE,Pathway,0.6,12,0.43,1,0,
160,Wallet,Red,Parking Area,Open Area,0.45,22,0.91,4,1,1.0
161,Wallet,Red,Bus Stop,Transit,0.75,24,0.85,0,0,
162,Keys,Silver,Auditorium,Building,0.8,3,0.55,3,1,4.0
163,Bottle,Red,Library,Building,0.85,17,0.65,1,0,
164,ID Card,Red,Parking Area,Open Area,0.45,20,0.52,2,0,
165,Bag,Green,Clock Tower,Landmark,0.9,13,0.95,2,1,1.0
166,Keys,Green,Bus Stop,Transit,0.75,4,0.88,3,1,7.0
167,Keys,Silver,Bus Stop,Transit,0.75,8,0.75,2,1,5.0
168,Bottle,Green,Pathway near CSE,Pathway,0.6,13,0.5,5,0,
169,Bottle,Black,Library,Building,0.85,27,0.99,4,1,1.0
170,Phone,Black,Pathway near CSE,Pathway,0.6,7,0.94,2,1,6.0
171,Bottle,Silver,Bus Stop,Transit,0.75,12,0.71,2,0,
172,Bag,Black,Canteen,Building,0.95,15,0.9,2,1,1.0
173,ID Card,Black,Library,Building,0.85,28,0.85,2,1,3.0
174,ID Card,Silver,Clock Tower,Landmark,0.9,16,0.3,1,0,
175,Phone,Blue,Bus Stop,Transit,0.75,13,0.5,1,0,
176,Wallet,White,Pathway near CSE,Pathway,0.6,20,0.67,3,0,
177,Bag,Red,Clock Tower,Landmark,0.9,9,0.52,2,0,
178,Keys,Blue,Library,Building,0.85,21,0.79,0,0,
179,Bag,Silver,Parking Area,Open Area,0.45,11,0.7,1,0,
180,Keys,Silver,Library,Building,0.85,11,0.73,3,1,1.0
181,ID Card,Black,Library,Building,0.85,7,0.69,1,1,3.0
182,Wallet,Black,Clock Tower,Landmark,0.9,23,0.6,2,0,
183,Keys,Blue,Canteen,Building,0.95,6,0.92,1,1,4.0
184,ID Card,White,Parking Area,Open Area,0.45,24,0.33,2,0,
185,ID Card,Red,Auditorium,Building,0.8,6,0.5,0,0,
186,ID Card,Blue,Library,Building,0.85,0,0.99,1,1,2.0
187,Wallet,Black,Clock Tower,Landmark,0.9,1,0.83,0,1,1.0
188,Keys,Blue,Bus Stop,Transit,0.75,27,0.5,2,0,
189,Phone,Red,Parking Area,Open Area,0.45,9,0.64,3,0,
190,Bag,Black,Canteen,Building,0.95,30,0.66,2,0,
191,Bag,Red,Auditorium,Building,0.8,2,0.81,0,1,1.0
192,Phone,Silver,Bus Stop,Transit,0.75,21,0.64,1,0,
193,Wallet,Silver,Library,Building,0.85,2,0.76,3,1,1.0
194,Phone,Silver,Auditorium,Building,0.8,13,0.47,2,0,
195,Bottle,Blue,Auditorium,Building,0.8,16,0.47,2,0,
196,Bag,Black,Auditorium,Building,0.8,18,0.99,2,1,5.0
197,ID Card,Silver,Parking Area,Open Area,0.45,1,0.87,2,1,1.0
198,Keys,Red,Auditorium,Building,0.8,6,0.69,2,1,1.0
199,ID Card,White,Clock Tower,Landmark,0.9,5,0.47,1,1,6.0
200,Bottle,Red,Canteen,Building,0.95,0,0.72,0,1,2.0
201,Keys,Silver,Pathway near CSE,Pathway,0.6,9,0.77,2,1,1.0
202,ID Card,White,Library,Building,0.85,22,0.39,1,0,
203,Phone,White,Canteen,Building,0.95,29,0.75,2,1,6.0
204,Keys,Silver,Bus Stop,Transit,0.75,25,0.88,2,0,
205,Bag,Red,Parking Area,Open Area,0.45,7,0.64,2,0,
206,ID Card,Blue,Clock Tower,Landmark,0.9,1,0.74,1,1,3.0
207,ID Card,Silver,Bus Stop,Transit,0.75,26,0.8,4,1,1.0
208,ID Card,Green,Clock Tower,Landmark,0.9,14,0.38,2,0,
209,Keys,Green,Library,Building,0.85,16,0.99,2,1,1.0
210,Bag,Red,Parking Area,Open Area,0.45,1,0.68,3,1,1.0
211,Keys,Black,Parking Area,Open Area,0.45,8,0.79,2,1,1.0
212,Wallet,White,Auditorium,Building,0.8,27,0.8,0,0,
213,Phone,White,Auditorium,Building,0.8,8,0.69,1,1,5.0
214,Wallet,Green,Parking Area,Open Area,0.45,20,0.81,5,1,1.0
215,ID Card,Blue,Parking Area,Open Area,0.45,13,0.78,1,0,
216,Bag,Red,Pathway near CSE,Pathway,0.6,11,0.74,1,0,
217,ID Card,White,Clock Tower,Landmark,0.9,27,0.51,6,1,4.0
218,Bag,White,Pathway near CSE,Pathway,0.6,9,0.89,0,0,
219,Bag,Silver,Clock Tower,Landmark,0.9,14,0.45,0,0,
220,ID Card,Black,Clock Tower,Landmark,0.9,24,0.79,0,0,
221,Bottle,Red,Bus Stop,Transit,0.75,27,0.51,1,0,
222,Bag,Red,Canteen,Building,0.95,16,0.93,2,1,1.0
223,Bag,White,Pathway near CSE,Pathway,0.6,24,0.86,2,0,
224,ID Card,Silver,Canteen,Building,0.95,29,0.75,1,0,
225,Keys,Green,Clock Tower,Landmark,0.9,0,0.71,5,1,1.0
226,Bottle,Blue,Bus Stop,Transit,0.75,5,0.89,5,1,3.0
227,Phone,Silver,Pathway near CSE,Pathway,0.6,2,0.62,1,1,1.0
228,Phone,Green,Clock Tower,Landmark,0.9,20,0.65,1,0,
229,Bag,White,Library,Building,0.85,16,0.35,3,0,
230,Bag,Green,Pathway near CSE,Pathway,0.6,7,0.48,0,0,
231,Wallet,Green,Canteen,Building,0.95,29,0.88,3,1,11.0
232,Keys,Blue,Auditorium,Building,0.8,2,0.66,3,1,1.0
233,Bag,Black,Auditorium,Building,0.8,16,0.59,1,0,
234,Phone,Black,Bus Stop,Transit,0.75,9,0.6,2,1,8.0
235,Bottle,White,Pathway near CSE,Pathway,0.6,27,0.96,1,0,
236,Bottle,Green,Library,Building,0.85,10,0.6,2,0,
237,Bottle,Green,Pathway near CSE,Pathway,0.6,29,0.99,1,0,
238,Wallet,White,Canteen,Building,0.95,18,0.87,2,1,5.0
239,Bag,Red,Library,Building,0.85,23,0.8,1,0,
240,Bag,Green,Bus Stop,Transit,0.75,25,0.9,2,1,3.0
241,Wallet,Green,Clock Tower,Landmark,0.9,4,0.55,2,1,4.0
242,Bottle,Black,Auditorium,Building,0.8,3,0.7,3,1,1.0
243,Bag,Red,Parking Area,Open Area,0.45,29,0.82,3,0,
244,Keys,Blue,Pathway near CSE,Pathway,0.6,27,0.99,6,1,3.0
245,Wallet,Red,Pathway near CSE,Pathway,0.6,25,0.67,2,0,
246,ID Card,Silver,Bus Stop,Transit,0.75,12,0.73,3,1,1.0
247,ID Card,White,Auditorium,Building,0.8,17,0.73,2,1,1.0
248,ID Card,White,Bus Stop,Transit,0.75,28,0.71,1,0,
249,Bottle,Red,Parking Area,Open Area,0.45,2,0.74,4,1,6.0
250,Keys,Black,Canteen,Building,0.95,23,0.98,1,1,1.0
251,Phone,White,Bus Stop,Transit,0.75,27,0.63,2,0,
252,Wallet,White,Library,Building,0.85,28,0.73,0,1,5.0
253,ID Card,Red,Library,Building,0.85,11,0.6,1,0,
254,Wallet,Blue,Parking Area,Open Area,0.45,13,0.77,0,0,
255,Wallet,Blue,Canteen,Building,0.95,2,0.68,3,1,14.0
256,Bag,Silver,Bus Stop,Transit,0.75,7,0.33,2,0,
257,Bottle,Blue,Canteen,Building,0.95,14,0.82,1,0,
258,Bag,Black,Bus Stop,Transit,0.75,0,0.88,2,1,7.0
259,Bag,Black,Bus Stop,Transit,0.75,17,0.66,3,0,
260,Bag,Black,Parking Area,Open Area,0.45,9,0.49,2,0,
261,Bag,White,Library,Building,0.85,14,0.66,1,0,
262,Wallet,Green,Auditorium,Building,0.8,15,0.76,3,1,8.0
263,Bag,Silver,Library,Building,0.85,18,0.75,5,1,1.0
264,Keys,Black,Clock Tower,Landmark,0.9,26,0.66,4,0,
265,ID Card,Red,Parking Area,Open Area,0.45,27,0.77,1,0,
266,Keys,Red,Parking Area,Open Area,0.45,23,0.56,1,0,
267,ID Card,Blue,Parking Area,Open Area,0.45,25,0.41,2,0,
268,Keys,Blue,Parking Area,Open Area,0.45,8,0.8,0,0,
269,Keys,White,Bus Stop,Transit,0.75,26,0.67,2,0,
270,Phone,White,Bus Stop,Transit,0.75,1,0.58,3,1,1.0
271,Bag,Red,Parking Area,Open Area,0.45,11,0.65,2,0,
272,Phone,Black,Library,Building,0.85,23,0.63,3,1,1.0
273,Wallet,Blue,Auditorium,Building,0.8,17,0.54,1,0,
274,ID Card,Silver,Parking Area,Open Area,0.45,29,0.71,0,0,
275,Wallet,Black,Auditorium,Building,0.8,30,0.52,3,0,
276,ID Card,White,Auditorium,Building,0.8,10,0.65,1,1,2.0
277,Bag,Red,Canteen,Building,0.95,24,0.99,5,1,5.0
278,Keys,White,Bus Stop,Transit,0.75,12,0.76,3,1,1.0
279,Bottle,Black,Clock Tower,Landmark,0.9,25,0.63,0,0,
280,ID Card,Silver,Clock Tower,Landmark,0.9,14,0.74,1,1,5.0
281,Keys,White,Library,Building,0.85,18,0.51,4,0,
282,Keys,Black,Clock Tower,Landmark,0.9,21,0.6,4,0,
283,Phone,Silver,Parking Area,Open Area,0.45,10,0.61,0,0,
284,Wallet,White,Clock Tower,Landmark,0.9,20,0.74,1,0,
285,Keys,Black,Bus Stop,Transit,0.75,13,0.77,2,0,
286,Phone,Red,Library,Building,0.85,15,0.82,2,1,5.0
287,Wallet,Silver,Canteen,Building,0.95,12,0.42,4,1,1.0
288,Keys,White,Bus Stop,Transit,0.75,30,0.99,2,1,2.0
289,Bottle,White,Bus Stop,Transit,0.75,4,0.95,0,1,3.0
290,Keys,Red,Auditorium,Building,0.8,15,0.84,2,1,8.0
291,ID Card,Red,Bus Stop,Transit,0.75,11,0.76,1,1,5.0
292,Bag,Blue,Auditorium,Building,0.8,11,0.65,2,0,
293,Keys,Black,Parking Area,Open Area,0.45,28,0.49,2,0,
294,ID Card,Red,Pathway near CSE,Pathway,0.6,8,0.76,3,1,8.0
295,Phone,Green,Clock Tower,Landmark,0.9,21,0.42,0,0,
296,Keys,Silver,Clock Tower,Landmark,0.9,1,0.65,1,1,1.0
297,Wallet,Blue,Auditorium,Building,0.8,18,0.65,2,0,
298,Bottle,Blue,Parking Area,Open Area,0.45,6,0.92,1,0,
299,Wallet,Black,Auditorium,Building,0.8,4,0.64,4,1,1.0
300,Bottle,Red,Library,Building,0.85,27,0.99,1,0,
301,Wallet,Silver,Library,Building,0.85,25,0.83,0,0,
302,Keys,Red,Canteen,Building,0.95,0,0.71,0,1,1.0
303,Wallet,Silver,Library,Building,0.85,0,0.67,1,1,1.0
304,Phone,Blue,Bus Stop,Transit,0.75,13,0.78,2,1,7.0
305,Keys,Red,Pathway near CSE,Pathway,0.6,14,0.86,2,0,
306,Bottle,Silver,Clock Tower,Landmark,0.9,14,0.76,1,0,
307,Bottle,Red,Bus Stop,Transit,0.75,25,0.53,2,0,
308,Keys,Silver,Library,Building,0.85,14,0.82,3,1,2.0
309,Phone,Red,Pathway near CSE,Pathway,0.6,27,0.69,3,0,
310,Keys,Red,Pathway near CSE,Pathway,0.6,22,0.99,3,1,2.0
311,Phone,Red,Library,Building,0.85,19,0.99,0,1,2.0
312,Wallet,Black,Parking Area,Open Area,0.45,20,0.49,1,0,
313,Keys,Black,Pathway near CSE,Pathway,0.6,19,0.69,5,1,1.0
314,Bag,Silver,Parking Area,Open Area,0.45,13,0.76,5,1,1.0
315,Keys,Red,Auditorium,Building,0.8,20,0.67,1,0,
316,Bottle,White,Auditorium,Building,0.8,6,0.7,2,1,1.0
317,Wallet,Green,Library,Building,0.85,26,0.58,1,0,
318,Bag,White,Clock Tower,Landmark,0.9,10,0.46,3,0,
319,Keys,Black,Library,Building,0.85,30,0.88,2,0,
320,Bag,Red,Clock Tower,Landmark,0.9,26,0.64,1,0,
321,Bag,Red,Bus Stop,Transit,0.75,23,0.96,6,1,1.0
322,Wallet,Silver,Clock Tower,Landmark,0.9,18,0.37,0,0,
323,Bottle,Black,Bus Stop,Transit,0.75,3,0.84,2,1,6.0
324,Keys,Green,Auditorium,Building,0.8,29,0.75,1,0,
325,ID Card,Silver,Library,Building,0.85,11,0.4,1,0,
326,Bottle,Blue,Canteen,Building,0.95,21,0.68,2,0,
327,Phone,Black,Auditorium,Building,0.8,17,0.97,1,1,1.0
328,ID Card,Silver,Canteen,Building,0.95,25,0.84,1,1,1.0
329,Bottle,Silver,Parking Area,Open Area,0.45,21,0.99,0,0,
330,Phone,Silver,Bus Stop,Transit,0.75,26,0.74,3,1,4.0
331,Phone,Blue,Library,Building,0.85,22,0.6,5,1,1.0
332,ID Card,Black,Clock Tower,Landmark,0.9,5,0.71,4,1,1.0
333,Bottle,White,Pathway near CSE,Pathway,0.6,2,0.57,3,1,2.0
334,Keys,Red,Clock Tower,Landmark,0.9,23,0.86,2,1,3.0
335,Bag,Green,Pathway near CSE,Pathway,0.6,10,0.64,0,0,
336,ID Card,White,Library,Building,0.85,24,0.78,0,0,
337,Bottle,Red,Clock Tower,Landmark,0.9,4,0.92,1,1,1.0
338,Bottle,Red,Bus Stop,Transit,0.75,2,0.99,3,1,2.0
339,Keys,Green,Pathway near CSE,Pathway,0.6,19,0.44,3,0,
340,ID Card,Blue,Auditorium,Building,0.8,16,0.36,0,0,
341,Bag,Red,Library,Building,0.85,21,0.8,1,0,
342,Bag,Silver,Bus Stop,Transit,0.75,9,0.99,0,0,
343,Bag,Silver,Clock Tower,Landmark,0.9,0,0.5,1,1,1.0
344,Wallet,Blue,Auditorium,Building,0.8,8,0.57,0,0,
345,Phone,Red,Pathway near CSE,Pathway,0.6,23,0.59,4,0,
346,Wallet,Green,Parking Area,Open Area,0.45,22,0.83,4,1,3.0
347,Bottle,White,Auditorium,Building,0.8,11,0.57,2,0,
348,Keys,Red,Pathway near CSE,Pathway,0.6,0,0.69,2,1,1.0
349,Phone,Black,Parking Area,Open Area,0.45,13,0.99,4,1,1.0
350,Keys,White,Pathway near CSE,Pathway,0.6,9,0.64,3,0,
351,Phone,Black,Canteen,Building,0.95,25,0.71,1,0,
352,Bag,White,Library,Building,0.85,2,0.92,1,1,4.0
353,Phone,Blue,Pathway near CSE,Pathway,0.6,18,0.83,0,0,
354,Phone,Green,Auditorium,Building,0.8,9,0.87,1,1,1.0
355,Wallet,Black,Auditorium,Building,0.8,5,0.37,2,0,
356,Keys,Red,Parking Area,Open Area,0.45,16,0.79,5,1,6.0
357,ID Card,Black,Bus Stop,Transit,0.75,30,0.71,5,1,1.0
358,Wallet,Blue,Clock Tower,Landmark,0.9,4,0.68,1,1,2.0
359,Wallet,Silver,Canteen,Building,0.95,24,0.71,2,1,4.0
360,Phone,Blue,Auditorium,Building,0.8,20,0.7,4,1,1.0
361,Bottle,Silver,Pathway near CSE,Pathway,0.6,21,0.51,1,0,
362,Bottle,White,Bus Stop,Transit,0.75,19,0.65,0,0,
363,Keys,Black,Canteen,Building,0.95,14,0.79,1,0,
364,Bag,White,Library,Building,0.85,25,0.71,2,0,
365,Phone,Black,Parking Area,Open Area,0.45,2,0.48,2,0,
366,Bag,Red,Clock Tower,Landmark,0.9,11,0.81,0,0,
367,Phone,White,Auditorium,Building,0.8,27,0.66,0,0,
368,Bottle,Silver,Pathway near CSE,Pathway,0.6,14,0.97,1,0,
369,Keys,Red,Pathway near CSE,Pathway,0.6,29,0.6,0,0,
370,Keys,Blue,Library,Building,0.85,19,0.63,1,0,
371,Wallet,Red,Pathway near CSE,Pathway,0.6,3,0.63,4,1,2.0
372,ID Card,White,Clock Tower,Landmark,0.9,16,0.73,2,1,5.0
373,Phone,Blue,Bus Stop,Transit,0.75,14,0.45,2,0,
374,Bottle,Silver,Parking Area,Open Area,0.45,5,0.66,2,0,
375,ID Card,Green,Pathway near CSE,Pathway,0.6,24,0.6,0,0,
376,Bottle,Red,Auditorium,Building,0.8,20,0.3,2,0,
377,Phone,Black,Clock Tower,Landmark,0.9,17,0.43,0,0,
378,ID Card,Black,Bus Stop,Transit,0.75,27,0.73,4,1,1.0
379,Bottle,Blue,Library,Building,0.85,2,0.35,1,0,
380,Wallet,Black,Library,Building,0.85,30,0.99,1,1,1.0
381,Keys,Green,Canteen,Building,0.95,19,0.67,2,0,
382,Phone,Black,Parking Area,Open Area,0.45,12,0.99,5,1,1.0
383,ID Card,Blue,Bus Stop,Transit,0.75,22,0.82,0,0,
384,Keys,White,Parking Area,Open Area,0.45,2,0.61,5,1,2.0
